BraTS21ID,Model,Channels,Tumor regions,Dice score,HD95
BraTS2021_00651,MEncodnnUnet,4 channels,TC,0.9769259095191956,1.0
BraTS2021_00112,MEncodnnUnet,4 channels,TC,0.7153494954109192,11.045361017187261
BraTS2021_00273,MEncodnnUnet,4 channels,TC,0.9751842617988586,2.449489742783178
BraTS2021_01322,MEncodnnUnet,4 channels,TC,0.9243287444114685,22.444323734432647
BraTS2021_01314,MEncodnnUnet,4 channels,TC,0.7330438494682312,4.566009733962391
BraTS2021_00504,MEncodnnUnet,4 channels,TC,0.8569678664207458,7.14142842854285
BraTS2021_00160,MEncodnnUnet,4 channels,TC,0.6028318405151367,8.955417527999318
BraTS2021_00096,MEncodnnUnet,4 channels,TC,0.9731717109680176,1.0
BraTS2021_00146,MEncodnnUnet,4 channels,TC,0.8983030915260315,4.242640687119285
BraTS2021_01518,MEncodnnUnet,4 channels,TC,0.9009731411933899,5.0
BraTS2021_00806,MEncodnnUnet,4 channels,TC,0.9356279969215393,12.107831781227054
BraTS2021_00518,MEncodnnUnet,4 channels,TC,0.8533605337142944,38.48376280978771
BraTS2021_00728,MEncodnnUnet,4 channels,TC,0.9738717079162598,1.0
BraTS2021_00616,MEncodnnUnet,4 channels,TC,0.9919760227203369,1.0
BraTS2021_01319,MEncodnnUnet,4 channels,TC,0.9858826398849487,1.0
BraTS2021_00193,MEncodnnUnet,4 channels,TC,0.9530730843544006,2.8284271247461903
BraTS2021_01212,MEncodnnUnet,4 channels,TC,0.9263900518417358,1.7320508075688772
BraTS2021_01297,MEncodnnUnet,4 channels,TC,0.918749988079071,1.7320508075688772
BraTS2021_01339,MEncodnnUnet,4 channels,TC,0.9914981722831726,1.0
BraTS2021_00157,MEncodnnUnet,4 channels,TC,0.978029191493988,1.0
BraTS2021_00777,MEncodnnUnet,4 channels,TC,0.9792554378509521,1.0
BraTS2021_00191,MEncodnnUnet,4 channels,TC,0.9711242318153381,13.92838827718412
BraTS2021_00219,MEncodnnUnet,4 channels,TC,0.9837503433227539,1.0
BraTS2021_01370,MEncodnnUnet,4 channels,TC,0.7213728427886963,10.293196172235621
BraTS2021_01485,MEncodnnUnet,4 channels,TC,0.1595248132944107,21.59745048294603
BraTS2021_00567,MEncodnnUnet,4 channels,TC,0.9495967626571655,2.0
BraTS2021_00596,MEncodnnUnet,4 channels,TC,0.9729428291320801,1.0
BraTS2021_01177,MEncodnnUnet,4 channels,TC,0.9547201991081238,10.770329614269007
BraTS2021_00839,MEncodnnUnet,4 channels,TC,0.8768627643585205,1.0
BraTS2021_01573,MEncodnnUnet,4 channels,TC,0.9801572561264038,3.0
BraTS2021_01579,MEncodnnUnet,4 channels,TC,0.950948178768158,1.7320508075688772
BraTS2021_01636,MEncodnnUnet,4 channels,TC,0.6004464030265808,17.4928556845359
BraTS2021_01435,MEncodnnUnet,4 channels,TC,0.8532707691192627,3.1622776601683795
BraTS2021_01634,MEncodnnUnet,4 channels,TC,0.985338568687439,2.0
BraTS2021_01515,MEncodnnUnet,4 channels,TC,0.6269794702529907,16.673332000533065
BraTS2021_01567,MEncodnnUnet,4 channels,TC,0.9834851622581482,1.0
BraTS2021_01200,MEncodnnUnet,4 channels,TC,0.9866659045219421,1.0
BraTS2021_00780,MEncodnnUnet,4 channels,TC,0.9860383868217468,1.0
BraTS2021_00212,MEncodnnUnet,4 channels,TC,0.9724805951118469,1.0
BraTS2021_00000,MEncodnnUnet,4 channels,TC,0.9828807711601257,1.0
BraTS2021_00556,MEncodnnUnet,4 channels,TC,0.8983639478683472,4.123105625617661
BraTS2021_01211,MEncodnnUnet,4 channels,TC,0.9153221845626831,2.23606797749979
BraTS2021_00407,MEncodnnUnet,4 channels,TC,0.9448081851005554,1.4142135623730951
BraTS2021_00824,MEncodnnUnet,4 channels,TC,0.9696818590164185,2.0
BraTS2021_00718,MEncodnnUnet,4 channels,TC,0.9698085188865662,1.4142135623730951
BraTS2021_01660,MEncodnnUnet,4 channels,TC,0.9531463384628296,2.23606797749979
BraTS2021_00448,MEncodnnUnet,4 channels,TC,0.9884572625160217,1.0
BraTS2021_01239,MEncodnnUnet,4 channels,TC,0.9419476389884949,1.7320508075688772
BraTS2021_01379,MEncodnnUnet,4 channels,TC,0.8195144534111023,7.681145747868608
BraTS2021_01385,MEncodnnUnet,4 channels,TC,0.9877866506576538,1.0
BraTS2021_00519,MEncodnnUnet,4 channels,TC,0.9653787612915039,2.0
BraTS2021_01072,MEncodnnUnet,4 channels,TC,0.9763859510421753,1.4142135623730951
BraTS2021_00185,MEncodnnUnet,4 channels,TC,0.950142502784729,5.0
BraTS2021_01492,MEncodnnUnet,4 channels,TC,0.9195003509521484,2.9399494936611044
BraTS2021_01628,MEncodnnUnet,4 channels,TC,0.0,0.0
BraTS2021_00184,MEncodnnUnet,4 channels,TC,0.9720810055732727,4.3999999999991815
BraTS2021_00359,MEncodnnUnet,4 channels,TC,0.9822133183479309,1.0
